"departure","arrival","distance_km"
"2544E","2525",4
"2544N","3011",21
"3011","2544G",20.8
"2544E","3011",21.6
"2543B","2552",1.8
"2552","2544E",0.9
"2544E","2521",5
"2544E","2284",4.3
"2544E","2914",26.6
"2544E","2516",6.5
"2544E","2584",6.6
"2544E","2511",5.8
"2544E","2553",2
"2544E","2517",5.1
"2544E","2713",16
"2544E","2583",5.1
"2544E","2628",9.9
"2544E","2652",15.7
"2545G","2552",2
"2544E","2665",19.6
"2544E","2291",3.5
"2914","2543B",25.7
"2521","2543B",4.6
"2544E","2651",15.9
"2544E","2573",3.1
"2521","2542J",5
"2544E","2593",7.7
"2521","2544G",4.6
"2544E","2597",8.1
"2532B","2597",6.8
"2544E","2671",6.6
"2544E","3316",40.6
"2544E","1012",57.2
"2544E","2512",4.8
"2652","2543A",14.7
"2543B","2284",3.5
"2544E","2547",2
"2544E","2585",6.3
"2544E","2681",4.7
"2665","2543B",18.8
"2544E","2382",20.7
"2544E","2591",9.4
"2546A","2563",1.7
"2563","2545G",2.6
"2546A","2564",1.7
"2546A","2573",1
"2546B","2596",4.9
"2571","2546B",1.4
"2546B","2547",0.5
"2546B","2511",3.7
"2546S","2516",4.7
"2512","2546S",2.9
"2546A","2624",8.9
"2616","2546A",8.2
"2546A","2275",5.3
"2275","2545G",5.5
"2546A","2562",1.9
"2546E","3072",22.9
"2546E","2511",3.9
"2546V","2552",2
"2546V","2511",3.6
"2546V","2563",1.5
"2546A","2547",0.7
"2546A","3072",22.7
"2546A","2518",2.9
"2546A","2584",5
"2545A","2563",2.2
"2545A","2681",5.8
"2546S","2514",4
"2547","2546S",0.4
"2546S","2564",1.4
"2546E","2521",3.3
"2546E","2564",1.4
"2571","2546E",1.7
"2546E","2547",0.4
"2546B","2516",4.5
"2546B","2521",3.1
"2546B","2552",1.9
"2546V","2547",0.6
"2546V","2616",8.3
"2546V","2571",1.3
"2545C","1012",55.7
"2545C","2628",9.7
"2545E","2572",2.3
"2514","2545E",4.6
"2546X","2552",2.2
"2546X","2584",4.7
"2546X","2562",1.6
"2546A","2521",3
"2546E","2595",5
"2546E","2624",9.1
"2546R","2525",2.4
"2546R","2584",5.1
"2546V","2566",2.8
"2546V","2584",4.8
"2546V","2562",1.7
"2545C","2511",4.3
"2545C","2521",3.7
"2545C","2547",0.5
"2545E","2517",4
"2545E","2547",0.8
"2545E","2511",4.5
"2545C","2552",1.3
"2545C","2513",3.5
"2545E","2552",1.2
"2545E","3521",57.9
"2545E","2516",5.3
"2593","2545E",6.4
"2545E","9711",202.4
"2546C","2909",24.5
"2546C","2562",2.1
"2546C","2547",0.7
"2546C","2564",1.7
"2546R","3072",22.9
"2546B","2624",9.1
"2546V","2564",1.5
"2546B","2722",16.4
"2546T","3072",22.8
"3072","2545G",22
"2546T","2547",0.7
"2546S","3072",22.9
"2566","2546S",2.9
"2546S","2573",1.2
"2546S","2511",3.9
"2546T","2333",17.9
"2546T","2562",1.8
