"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2533B","2552",52.0486872890598,4.28410221908171,52.05459,4.247789,1,0,22.6,7.5,11.1,4,1,4.4,0.5,3.9,"2545CG"
"2552","2544N",52.05459,4.247789,52.0342293799336,4.24498616242454,0,1,26.9,23.1,3.8,0,0,3.6,1.7,1.9,"-1"
"2544E","2552",52.0464828004557,4.25028829153627,52.05459,4.247789,1,0,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544E","2547",52.0464828004557,4.25028829153627,52.06093,4.266762,1,0,16.6,12.4,4.2,0,0,2.8,0.9,1.9,"-1"
"2547","2544E",52.06093,4.266762,52.0464828004557,4.25028829153627,0,1,15.8,12.4,3.4,0,0,2.7,0.9,1.8,"2545AA"
"2544E","2511",52.0464828004557,4.25028829153627,52.07851,4.317539,1,0,35.1,15.8,19.4,0,0,7.2,1.2,6,"2544WB"
"2511","2544M",52.07851,4.317539,52.0396112782528,4.25129396965672,0,1,33.5,13.8,19.8,0,0,7.4,1,6.4,"2544RM"
"2552","2544E",52.05459,4.247789,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2511","2544E",52.07851,4.317539,52.0464828004557,4.25028829153627,0,1,37,17.8,19.3,0,0,8.5,1.4,7.1,"2544CX"
"2544E","2665",52.0464828004557,4.25028829153627,52.02257,4.534548,1,0,79.6,17.3,58.2,4.1,1,30.9,1.3,29.6,"2544WB"
"2544E","2521",52.0464828004557,4.25028829153627,52.06328,4.318427,1,0,41.9,14.8,22.9,4.3,1,8.3,1.1,7.2,"2545CG"
"2521","2544E",52.06328,4.318427,52.0464828004557,4.25028829153627,0,1,39.3,11.2,21.5,6.5,1,8.1,0.8,7.3,"-1"
"2665","2544E",52.02257,4.534548,52.0464828004557,4.25028829153627,0,1,89.7,19,61.3,9.4,1,33.3,1.4,31.9,"2544CX"
"2544E","2512",52.0464828004557,4.25028829153627,52.07346,4.304762,1,0,26.4,8.5,17.8,0,0,6.2,0.6,5.6,"2544WB"
"2512","2544E",52.07346,4.304762,52.0464828004557,4.25028829153627,0,1,29,11,18,0,0,7.6,0.8,6.8,"2544CX"
"2544E","2597",52.0464828004557,4.25028829153627,52.10758,4.313337,1,0,63.4,26.4,32.5,4.4,2,11.8,1.9,9.9,"2544WB"
"2597","2544E",52.10758,4.313337,52.0464828004557,4.25028829153627,0,1,59.9,22.3,33.5,4.2,1,12.7,1.7,11,"-1"
