"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2544E","3011",52.0464828004557,4.25028829153627,51.9186808511441,4.48752217709765,1,0,75.7,17.1,56.6,2,1,33.7,0.9,32.8,"-1","-1",1
"2544E","2914",52.0464828004557,4.25028829153627,51.9767947275283,4.62177244927082,1,0,116.9,29.2,77.1,10.6,1,42,2,40,"2544WB","2544W",1
"2914","2544E",51.9767947275283,4.62177244927082,52.0464828004557,4.25028829153627,0,1,123.9,19.6,84.6,19.8,3,50.5,1,49.5,"2544EB","2544E",1
"2544E","2516",52.0464828004557,4.25028829153627,52.067825882664,4.33840078455919,1,0,43.4,7.2,30.5,5.6,1,10.3,0.5,9.8,"2544EB","2544E",1
"2516","2544E",52.067825882664,4.33840078455919,52.0464828004557,4.25028829153627,0,1,44.6,8.7,29.4,6.5,1,10.5,0.6,9.9,"-1","-1",1
"2544E","2517",52.0464828004557,4.25028829153627,52.0872564188756,4.2856091847331,1,0,40.6,14,20.1,6.4,1,7.3,1,6.3,"2544EB","2544E",1
"2517","2544E",52.0872564188756,4.2856091847331,52.0464828004557,4.25028829153627,0,1,40.1,24.6,15.5,0,0,7.2,1.9,5.3,"-1","-1",1
"2544E","2652",52.0464828004557,4.25028829153627,51.990957546483,4.46054246453324,1,0,78.3,22.1,46.6,9.7,1,24.6,1.2,23.4,"2544WB","2544W",1
"2544E","2651",52.0464828004557,4.25028829153627,52.0023695961451,4.47092944934279,1,0,92.3,26.9,52,13.4,2,27.4,1.6,25.8,"2544WB","2544W",1
"2651","2544E",52.0023695961451,4.47092944934279,52.0464828004557,4.25028829153627,0,1,88.3,27.9,51.1,9.3,2,28.3,1.7,26.6,"2544CX","2544C",1
"2573","2544E",52.0653736707086,4.2841344796241,52.0464828004557,4.25028829153627,0,1,24.4,12.8,11.5,0,0,5.7,0.9,4.8,"2544CX","2544C",1
"2652","2544E",51.990957546483,4.46054246453324,52.0464828004557,4.25028829153627,0,1,73.3,22.7,45.7,4.9,1,25.8,1.3,24.5,"2544CX","2544C",1
"2544E","2593",52.0464828004557,4.25028829153627,52.085306948222,4.3427389060951,1,0,43.2,8.6,27.4,7.1,1,9.2,0.6,8.6,"2544WB","2544W",1
"2532B","2597",52.0471157905223,4.29792093747227,52.1075811993067,4.31333725310012,1,0,60.9,23,27.7,10.1,1,10.4,1.7,8.7,"2532EA","2532E",1
"2544E","3316",52.0464828004557,4.25028829153627,51.7703317733928,4.63699057537182,1,0,151.7,21.2,114,16.5,2,67.3,1.3,66,"2544WB","2544W",1
"2544E","1012",52.0464828004557,4.25028829153627,52.3745419294806,4.89602329086313,1,0,189.9,22.8,147.8,19.3,5,77.2,1.5,75.7,"2544WB","2544W",1
"1012","2544E",52.3745419294806,4.89602329086313,52.0464828004557,4.25028829153627,0,1,199.2,17,156.2,26,4,76.4,1.2,75.2,"2544CX","2544C",1
"2544E","2585",52.0464828004557,4.25028829153627,52.0948730770626,4.29696375867616,1,0,49.8,15.8,29.5,4.4,2,9.8,1.1,8.7,"2544WB","2544W",1
"2546R","2525",52.0570615813484,4.26887575509814,52.0623766403396,4.3033052949289,1,0,25.9,18.9,7,0,0,3.4,1.4,2,"2533AD","2533A",1
"2525","2546R",52.0623766403396,4.3033052949289,52.0570615813484,4.26887575509814,0,1,23.3,14.4,8.9,0,0,4.1,1,3.1,"2545CG","2545C",1
"2546X","3171",52.0607363175907,4.27761287481445,51.8549780764941,4.39920958999336,1,0,106.9,24.2,71.7,10.9,3,44.9,1.5,43.4,"2533SW","2533S",1
"3171","2546X",51.8549780764941,4.39920958999336,52.0607363175907,4.27761287481445,0,1,104,26.2,68.8,8.9,2,45.7,1.7,44,"-1","-1",1
"2624","2533H",51.9951639454664,4.35577193846277,52.0487012158308,4.29070086181086,0,1,48,22.9,25,0,0,12.1,1.7,10.4,"2545HD","2545H",1
"2533J","2245",52.0509015842924,4.29388139874333,52.1212697387586,4.39936927067405,1,0,61.9,26.2,33.3,2.3,1,15,1.9,13.1,"2533SR","2533S",1
"2546B","3171",52.0591161365999,4.27399671521609,51.8549780764941,4.39920958999336,1,0,106.4,19.9,75.8,10.7,3,46,1,45,"-1","-1",1
"3171","2546B",51.8549780764941,4.39920958999336,52.0591161365999,4.27399671521609,0,1,103.2,25.4,68.8,8.9,2,45.6,1.6,44,"-1","-1",1
"3072","2545J",51.902110213157,4.48910082781826,52.0501761443925,4.27390518499308,0,1,86.4,16.2,59.2,11,2,35.1,0.9,34.2,"2545JT","2545J",1
"3072","2533S",51.902110213157,4.48910082781826,52.0553882189754,4.28645029912797,0,1,88.7,22.9,54.9,10.9,2,34.2,1.4,32.8,"2533SP","2533S",1
"2533S","3072",52.0553882189754,4.28645029912797,51.902110213157,4.48910082781826,1,0,89,27.1,57.6,4.3,1,36.3,1.6,34.7,"2533SR","2533S",1
"2546C","3171",52.0566592189878,4.27346932211107,51.8549780764941,4.39920958999336,1,0,109,24.9,73.2,10.9,3,45.6,1.5,44.1,"2533AD","2533A",1
"3171","2546C",51.8549780764941,4.39920958999336,52.0566592189878,4.27346932211107,0,1,107.6,27.8,71,8.9,2,46.6,1.7,44.9,"2545CG","2545C",1
"2546T","2525",52.0592568478597,4.27600442135472,52.0623766403396,4.3033052949289,1,0,20.7,15.1,5.6,0,0,2.6,1.1,1.5,"2533SW","2533S",1
