"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6","stop_PC5","feasible"
"2544E","3011",52.0464828004557,4.25028829153627,51.9186808511441,4.48752217709765,1,0,67.2,22.1,17.4,23,4.7,2,27.8,1.6,5.7,20.5,"2545JT","2545J",1
"2544E","2914",52.0464828004557,4.25028829153627,51.9767947275283,4.62177244927082,1,0,97.1,35.1,23,25,14,2,46.7,2.5,7.2,37,"2544WB","2544W",1
"2914","2544E",51.9767947275283,4.62177244927082,52.0464828004557,4.25028829153627,0,1,115.9,39.1,27.1,26,23.8,3,49.3,2.7,9.6,37,"0","-1",1
"2544E","2516",52.0464828004557,4.25028829153627,52.067825882664,4.33840078455919,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2516","2544E",52.067825882664,4.33840078455919,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544E","2517",52.0464828004557,4.25028829153627,52.0872564188756,4.2856091847331,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2517","2544E",52.0872564188756,4.2856091847331,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544E","2652",52.0464828004557,4.25028829153627,51.990957546483,4.46054246453324,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544E","2651",52.0464828004557,4.25028829153627,52.0023695961451,4.47092944934279,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2651","2544E",52.0023695961451,4.47092944934279,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2573","2544E",52.0653736707086,4.2841344796241,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2652","2544E",51.990957546483,4.46054246453324,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2544E","2593",52.0464828004557,4.25028829153627,52.085306948222,4.3427389060951,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2532B","2597",52.0471157905223,4.29792093747227,52.1075811993067,4.31333725310012,1,0,52.8,28.2,12.2,6,6.3,2,10,2,4.1,3.8,"2532CP","2532C",1
"2544E","3316",52.0464828004557,4.25028829153627,51.7703317733928,4.63699057537182,1,0,132.6,44.3,37.4,43,7.9,3,58.1,3.2,16.2,38.7,"2545JT","2545J",1
"2544E","1012",52.0464828004557,4.25028829153627,52.3745419294806,4.89602329086313,1,0,96.7,19.7,23.4,51,2.6,1,71.1,1.4,7.2,62.5,"2544WB","2544W",1
"1012","2544E",52.3745419294806,4.89602329086313,52.0464828004557,4.25028829153627,0,1,99.7,21.2,26.8,49,2.7,1,72.5,1.5,10,61,"2544CX","2544C",1
"2544E","2585",52.0464828004557,4.25028829153627,52.0948730770626,4.29696375867616,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546R","2525",52.0570615813484,4.26887575509814,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2546R",52.0623766403396,4.3033052949289,52.0570615813484,4.26887575509814,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546X","3171",52.0607363175907,4.27761287481445,51.8549780764941,4.39920958999336,1,0,93.9,29.3,37.7,19,7.9,2,43.8,1.7,19.3,22.8,"2533SW","2533S",1
"3171","2546X",51.8549780764941,4.39920958999336,52.0607363175907,4.27761287481445,0,1,88.9,37.3,20.8,16,14.8,3,31.7,2,13.2,16.5,"2532CP","2532C",1
"2624","2533H",51.9951639454664,4.35577193846277,52.0487012158308,4.29070086181086,0,1,54.4,22.2,14.1,7,11.1,2,14.3,1.2,4.7,8.4,"2533SR","2533S",1
"2533J","2245",52.0509015842924,4.29388139874333,52.1212697387586,4.39936927067405,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546B","3171",52.0591161365999,4.27399671521609,51.8549780764941,4.39920958999336,1,0,95.2,33.5,30.6,21,10.2,2,39.9,2,17.2,20.7,"2532CP","2532C",1
"3171","2546B",51.8549780764941,4.39920958999336,52.0591161365999,4.27399671521609,0,1,93.4,41.7,20.8,16,14.8,3,32.1,2.3,13.2,16.5,"2532CP","2532C",1
"3072","2545J",51.902110213157,4.48910082781826,52.0501761443925,4.27390518499308,0,1,74.5,30.4,15.4,22,6.7,2,29.2,1.8,6.7,20.7,"2532CP","2532C",1
"3072","2533S",51.902110213157,4.48910082781826,52.0553882189754,4.28645029912797,0,1,71.4,31,15.9,18,6.4,2,31.7,1.8,7.2,22.8,"2533SR","2533S",1
"2533S","3072",52.0553882189754,4.28645029912797,51.902110213157,4.48910082781826,1,0,71.7,30.9,10.9,21,8.8,2,27.4,1.8,4.9,20.7,"2532CP","2532C",1
"2546C","3171",52.0566592189878,4.27346932211107,51.8549780764941,4.39920958999336,1,0,94,30.9,31.9,21,10.2,2,40.3,1.8,17.8,20.7,"2532CP","2532C",1
"3171","2546C",51.8549780764941,4.39920958999336,52.0566592189878,4.27346932211107,0,1,92.2,38.6,22.7,16,14.8,3,32.5,2.1,13.9,16.5,"2532CP","2532C",1
"2546T","2525",52.0592568478597,4.27600442135472,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2546T",52.0623766403396,4.3033052949289,52.0592568478597,4.27600442135472,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546E","2548",52.0580559213753,4.27115759168931,52.0294425012506,4.29039874619047,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2542K","2573",52.0364390701642,4.26312437750577,52.0653736707086,4.2841344796241,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2533V","2624",52.0502735545728,4.28958147252202,51.9951639454664,4.35577193846277,1,0,41.8,17.9,14.6,4,5.3,2,10.7,1.3,4.9,4.5,"2541EA","2541E",1
"2516","2544N",52.067825882664,4.33840078455919,52.0342293799336,4.24498616242454,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2544J",51.9951639454664,4.35577193846277,52.0450156297235,4.25830282422894,0,1,63.9,19.9,25.1,7,11.9,3,17.4,1.1,7.9,8.4,"2543BG","2543B",1
"2546E","2525",52.0580559213753,4.27115759168931,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2546E",52.0623766403396,4.3033052949289,52.0580559213753,4.27115759168931,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2543A","2554",52.0434639733693,4.26411809103701,52.0649874429837,4.21969140039765,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"1435","2544J",52.2594488242524,4.70233605661364,52.0450156297235,4.25830282422894,0,1,113.1,30.4,30.7,34,18.1,4,62.7,2,13.5,47.2,"2543GB","2543G",1
"2546C","2525",52.0566592189878,4.27346932211107,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2525","2546C",52.0623766403396,4.3033052949289,52.0566592189878,4.27346932211107,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546A","2522",52.0577480548941,4.27572687830032,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546A",52.0603806984478,4.32727437307002,52.0577480548941,4.27572687830032,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2563","2533C",52.0726961183115,4.27055559115989,52.0487353984816,4.29328303683979,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546E","2522",52.0580559213753,4.27115759168931,52.0603806984478,4.32727437307002,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2522","2546E",52.0603806984478,4.32727437307002,52.0580559213753,4.27115759168931,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2533V","2595",52.0502735545728,4.28958147252202,52.0808715256637,4.33453210497774,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2543B",51.9951639454664,4.35577193846277,52.0408197781465,4.2614617830182,0,1,63.4,19.4,25.1,7,11.9,3,17.4,1,7.9,8.4,"2543BG","2543B",1
"2522","2545H",52.0603806984478,4.32727437307002,52.0436878110164,4.28273156391466,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546V","2525",52.0596909931168,4.27556636437299,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"3171","2533V",51.8549780764941,4.39920958999336,52.0502735545728,4.28958147252202,0,1,86.1,20.6,32.7,18,14.9,3,43,0.9,19.4,22.8,"2533SR","2533S",1
"2546X","2525",52.0607363175907,4.27761287481445,52.0623766403396,4.3033052949289,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546C","2548",52.0566592189878,4.27346932211107,52.0294425012506,4.29039874619047,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2548","2546C",52.0294425012506,4.29039874619047,52.0566592189878,4.27346932211107,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"1119","2533L",52.2821571917182,4.76035698526118,52.0524663644024,4.29612770686802,0,1,87.2,12.9,26.9,30,17.4,3,53.7,0.8,10.4,42.5,"2533SR","2533S",1
"2533L","1119",52.0524663644024,4.29612770686802,52.2821571917182,4.76035698526118,1,0,78.2,13.7,26.2,29,9.3,2,54,0.8,10.6,42.5,"2533SR","2533S",1
"2718","2543A",52.0390097565011,4.49760847654277,52.0434639733693,4.26411809103701,0,1,75.3,24.3,29.5,11,10.5,2,21.9,1.7,10.7,9.5,"2546AD","2546A",1
