"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2544E","2544R",4.250288,52.04648,4.250122,52.03996
"2544R","2544E",4.250122,52.03996,4.250288,52.04648
"2544E","2543A",4.250288,52.04648,4.264118,52.04346
"2543A","2544E",4.264118,52.04346,4.250288,52.04648
"2544E","2544N",4.250288,52.04648,4.244986,52.03423
"2544N","2591",4.244986,52.03423,4.364334,52.0935
"2591","2544N",4.364334,52.0935,4.244986,52.03423
"2544N","2544E",4.244986,52.03423,4.250288,52.04648
"2544E","2591",4.250288,52.04648,4.364334,52.0935
"2544E","2547",4.250288,52.04648,4.266762,52.06093
"2547","2544E",4.266762,52.06093,4.250288,52.04648
"2544E","2545J",4.250288,52.04648,4.273905,52.05018
"2545J","2544E",4.273905,52.05018,4.250288,52.04648
"2544E","2542E",4.250288,52.04648,4.26738,52.03587
"2542E","2564",4.26738,52.03587,4.258003,52.06811
"2564","2544E",4.258003,52.06811,4.250288,52.04648
"2544E","2291",4.250288,52.04648,4.277017,52.01948
"2291","2544E",4.277017,52.01948,4.250288,52.04648
"2544E","2544J",4.250288,52.04648,4.258303,52.04502
"2544J","2544E",4.258303,52.04502,4.250288,52.04648
"2544E","2544E",4.250288,52.04648,4.250288,52.04648
"2544E","2545G",4.250288,52.04648,4.275293,52.04924
"2545G","2544E",4.275293,52.04924,4.250288,52.04648
"2544E","2521",4.250288,52.04648,4.318427,52.06328
"2521","2544E",4.318427,52.06328,4.250288,52.04648
"2544E","2543B",4.250288,52.04648,4.261462,52.04082
"2543B","2544E",4.261462,52.04082,4.250288,52.04648
"2544E","2552",4.250288,52.04648,4.247789,52.05459
"2552","2544E",4.247789,52.05459,4.250288,52.04648
"2544E","2553",4.250288,52.04648,4.221591,52.04493
"2553","2544E",4.221591,52.04493,4.250288,52.04648
"2544E","2511",4.250288,52.04648,4.317539,52.07851
"2511","2544E",4.317539,52.07851,4.250288,52.04648
"2544E","2544H",4.250288,52.04648,4.260587,52.0458
"2544H","2544E",4.260587,52.0458,4.250288,52.04648
"2544E","2651",4.250288,52.04648,4.470929,52.00237
