"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2544E","2544R","4.250122","4.250288","52.03996","52.04648"
"2543A","2544E","4.250288","4.264118","52.04346","52.04648"
"2544E","2544N","4.244986","4.250288","52.03423","52.04648"
"2544N","2591","4.244986","4.364334","52.03423","52.09350"
"2544E","2591","4.250288","4.364334","52.04648","52.09350"
"2544E","2547","4.250288","4.266762","52.04648","52.06093"
"2544E","2545J","4.250288","4.273905","52.04648","52.05018"
"2542E","2544E","4.250288","4.267380","52.03587","52.04648"
"2542E","2564","4.258003","4.267380","52.03587","52.06811"
"2544E","2564","4.250288","4.258003","52.04648","52.06811"
"2291","2544E","4.250288","4.277017","52.01948","52.04648"
"2544E","2544J","4.250288","4.258303","52.04502","52.04648"
"2544E","2544E","4.250288","4.250288","52.04648","52.04648"
"2544E","2545G","4.250288","4.275293","52.04648","52.04924"
"2521","2544E","4.250288","4.318427","52.04648","52.06328"
"2543B","2544E","4.250288","4.261462","52.04082","52.04648"
"2544E","2552","4.247789","4.250288","52.04648","52.05459"
"2544E","2553","4.221591","4.250288","52.04493","52.04648"
"2511","2544E","4.250288","4.317539","52.04648","52.07851"
"2544E","2544H","4.250288","4.260587","52.04580","52.04648"
"2544E","2651","4.250288","4.470929","52.00237","52.04648"
"2544E","2544G","4.250288","4.259543","52.04253","52.04648"
"2544E","4.250288","5.047381","51.65595","5171","52.04648"
"2543R","2544E","4.250288","4.266393","52.04289","52.04648"
"2544E","3061","4.250288","4.504965","51.92704","52.04648"
"2517","2544E","4.250288","4.285609","52.04648","52.08726"
"2544E","2573","4.250288","4.284134","52.04648","52.06537"
"2543B","2552","4.247789","4.261462","52.04082","52.05459"
"2532C","2544E","4.250288","4.303933","52.04648","52.05276"
"2544E","2545H","4.250288","4.282732","52.04369","52.04648"
"2382","2544E","4.250288","4.522523","52.04648","52.12776"
"2382","2543B","4.261462","4.522523","52.04082","52.12776"
"2544E","2628","4.250288","4.375679","52.00169","52.04648"
"2542J","2544E","4.250288","4.258106","52.03853","52.04648"
"2544E","2544M","4.250288","4.251294","52.03961","52.04648"
"2544E","2681","4.185465","4.250288","52.03159","52.04648"
"2284","2544E","4.250288","4.313038","52.04115","52.04648"
"2291","2543A","4.264118","4.277017","52.01948","52.04346"
"2544E","2713","4.250288","4.484199","52.04648","52.05438"
"2532R","2544E","4.250288","4.295025","52.04648","52.04850"
"2544E","2597","4.250288","4.313337","52.04648","52.10758"
"2543A","2597","4.264118","4.313337","52.04346","52.10758"
"2291","2548","4.277017","4.290399","52.01948","52.02944"
"2544E","2671","4.208966","4.250288","51.99332","52.04648"
"2512","2544E","4.250288","4.304762","52.04648","52.07346"
"2543B","2628","4.261462","4.375679","52.00169","52.04082"
"2525","2544E","4.250288","4.303305","52.04648","52.06238"
"2544E","2685","4.223557","4.250288","52.02624","52.04648"
"2544E","2652","4.250288","4.460542","51.99096","52.04648"
"2544E","2544L","4.250288","4.251908","52.03512","52.04648"
"2544E","2548","4.250288","4.290399","52.02944","52.04648"
"2548","2652","4.290399","4.460542","51.99096","52.02944"
"2521","2544N","4.244986","4.318427","52.03423","52.06328"
"2543B","2544N","4.244986","4.261462","52.03423","52.04082"
"2545G","3061","4.275293","4.504965","51.92704","52.04924"
"2544E","2583","4.250288","4.256884","52.04648","52.09254"
"2543V","2544E","4.250288","4.259972","52.03965","52.04648"
"2544E","2584","4.250288","4.279296","52.04648","52.10258"
"2552","2573","4.247789","4.284134","52.05459","52.06537"
"2353","2544E","4.250288","4.538550","52.04648","52.16652"
"2353","2544J","4.258303","4.538550","52.04502","52.16652"
"2544E","2641","4.250288","4.434602","52.01597","52.04648"
"2545G","2597","4.275293","4.313337","52.04924","52.10758"
"1012","2544E","4.250288","4.896023","52.04648","52.37454"
"1012","2545G","4.275293","4.896023","52.04924","52.37454"
"2533S","2544E","4.250288","4.286450","52.04648","52.05539"
"1043","2544E","4.250288","4.823093","52.04648","52.38991"
"2132","2544E","4.250288","4.706230","52.04648","52.29580"
"2516","2544E","4.250288","4.338401","52.04648","52.06783"
"2544E","2914","4.250288","4.621772","51.97679","52.04648"
"2553","2914","4.221591","4.621772","51.97679","52.04493"
"2544M","2553","4.221591","4.251294","52.03961","52.04493"
"2533V","2544E","4.250288","4.289581","52.04648","52.05027"
"1043","2511","4.317539","4.823093","52.07851","52.38991"
"2514","2546A","4.275727","4.308987","52.05775","52.08523"
"2514","2545G","4.275293","4.308987","52.04924","52.08523"
"2545G","2546A","4.275293","4.275727","52.04924","52.05775"
"2546A","2554","4.219691","4.275727","52.05775","52.06499"
"2546A","2546X","4.275727","4.277613","52.05775","52.06074"
"2546A","2552","4.247789","4.275727","52.05459","52.05775"
"2546B","2546B","4.273997","4.273997","52.05912","52.05912"
"2545G","2546B","4.273997","4.275293","52.04924","52.05912"
"2511","2546B","4.273997","4.317539","52.05912","52.07851"
"2546B","2571","4.273997","4.286918","52.05912","52.06937"
"2518","2546S","4.271055","4.294222","52.05787","52.08114"
"2518","2547","4.266762","4.294222","52.06093","52.08114"
"2546S","2547","4.266762","4.271055","52.05787","52.06093"
"2546S","2546V","4.271055","4.275566","52.05787","52.05969"
